Date,Open,High,Low,Close,Volume,Adj Close
2008-12-18,27.88,28.23,26.33,26.93,27182500,26.93
2008-12-17,27.97,28.62,27.18,27.83,28631800,27.83
2008-12-16,28.50,28.72,26.50,28.50,33312000,28.50
2008-12-15,27.11,27.18,25.28,26.05,27819200,26.05
2008-12-12,25.26,27.33,24.86,26.99,41351200,26.99
2008-12-11,27.30,28.13,25.71,25.98,29832300,25.98
2008-12-10,27.86,28.48,26.95,27.50,34260000,27.50
2008-12-09,27.02,29.17,26.83,27.53,43224100,27.53
2008-12-08,26.85,28.48,26.66,27.75,44086200,27.75
2008-12-05,23.34,25.94,22.38,25.71,52627300,25.71
2008-12-04,24.40,25.54,22.98,23.80,47628100,23.80
2008-12-03,22.72,25.41,22.61,25.15,56574400,25.15
2008-12-02,23.05,24.04,22.31,23.95,46106700,23.95
2008-12-01,25.33,25.33,22.42,22.51,40646600,22.51
2008-11-28,26.31,26.59,25.94,26.44,10147000,26.44
2008-11-26,24.32,26.88,24.15,26.77,44763700,26.77
2008-11-25,25.56,25.60,23.63,24.73,47108600,24.73
2008-11-24,23.18,25.58,22.80,24.90,57219300,24.90
2008-11-21,21.21,22.52,19.72,22.25,83790600,22.25
2008-11-20,22.18,23.75,20.37,20.63,93345700,20.63
2008-11-19,25.50,26.20,22.56,22.70,56591200,22.70
2008-11-18,25.83,26.17,23.75,25.32,65934100,25.32
2008-11-17,25.70,27.07,25.26,25.55,50037300,25.55
2008-11-14,28.22,29.42,26.40,26.58,62766800,26.58
2008-11-13,26.19,29.60,23.69,29.48,74051800,29.48
2008-11-12,28.14,28.45,26.22,26.39,45231000,26.39
2008-11-11,29.67,30.29,28.25,29.36,45336500,29.36
2008-11-10,32.69,32.74,29.58,30.57,31554500,30.57
2008-11-07,30.68,31.74,30.02,31.09,39381100,31.09
2008-11-06,31.89,32.60,29.62,29.79,49245200,29.79
2008-11-05,36.18,36.40,32.75,32.90,33537700,32.90
2008-11-04,36.21,37.29,35.14,36.93,31327300,36.93
2008-11-03,34.74,35.43,34.13,34.94,23928800,34.94
2008-10-31,33.79,36.09,33.24,34.78,39967800,34.78
2008-10-30,34.51,35.29,33.07,34.60,49439400,34.60
2008-10-29,32.93,35.32,31.53,32.89,51767600,32.89
2008-10-28,28.73,32.90,27.18,32.54,58131200,32.54
2008-10-27,27.76,29.80,26.36,26.91,44923600,26.91
2008-10-24,25.58,29.93,25.54,28.58,49152600,28.58
2008-10-23,30.42,31.63,27.30,30.33,57209100,30.33
2008-10-22,32.20,32.73,28.85,30.61,46533400,30.61
2008-10-21,34.94,36.34,32.56,32.83,43005400,32.83
2008-10-20,35.48,36.50,33.06,36.50,39785200,36.50
2008-10-17,33.00,37.20,32.57,34.20,64235900,34.20
2008-10-16,31.40,34.27,28.27,34.27,87716200,34.27
