Date,Open,High,Low,Close,Volume,Adj Close
2009-04-14,61.10,68.00,60.10,67.26,48390500,67.26
2009-04-13,67.31,68.10,58.34,59.92,41568100,59.92
2009-04-09,77.31,77.93,64.59,64.88,36609200,64.88
2009-04-08,87.95,92.30,86.34,88.52,26657100,88.52
2009-04-07,88.69,90.00,85.67,89.85,27779600,89.85
2009-04-06,85.91,87.00,82.80,84.30,31184000,84.30
2009-04-03,89.92,90.60,80.69,80.95,30413800,80.95
2009-04-02,85.66,90.79,85.00,88.33,43256900,88.33
2009-04-01,103.48,103.59,92.86,94.12,35123800,94.12
2009-03-31,105.15,107.74,95.13,98.16,28757900,98.16
2009-03-30,105.40,111.61,103.11,110.03,30162300,110.03
2009-03-27,95.16,96.00,90.27,94.99,37743500,94.99
2009-03-26,91.27,97.24,89.27,90.36,36910500,90.36
2009-03-25,95.44,106.61,89.32,93.15,46524100,93.15
2009-03-24,96.85,99.98,88.91,99.16,36122900,99.16
2009-03-23,110.21,116.41,90.05,90.63,31597400,90.63
2009-03-20,120.24,130.86,119.42,129.09,27363300,129.09
2009-03-19,100.67,119.86,100.15,119.10,34803700,119.10
2009-03-18,131.66,132.76,105.00,105.66,34093500,105.66
2009-03-17,146.11,150.49,126.55,127.92,21316100,127.92
2009-03-16,134.36,145.79,126.27,144.81,27000400,144.81
2009-03-13,138.04,149.72,134.10,138.98,19999000,138.98
2009-03-12,173.98,178.35,138.32,142.06,15680700,142.06
2009-03-11,170.55,179.58,161.18,171.98,18156200,171.98
2009-03-10,220.22,222.70,178.61,181.42,19271200,181.42
2009-03-09,259.57,262.23,230.15,243.95,16325600,243.95
2009-03-06,238.41,268.00,227.47,250.07,21279400,250.07
2009-03-05,216.29,250.55,215.90,242.85,24195900,242.85
2009-03-04,192.03,218.00,191.95,207.88,21157500,207.88
2009-03-03,189.14,211.79,186.48,205.00,21224900,205.00
2009-03-02,187.41,201.36,184.08,199.10,21630400,199.10
2009-02-27,179.46,180.00,164.73,177.85,23414900,177.85
2009-02-26,153.42,164.50,145.36,160.60,24014300,160.60
2009-02-25,165.72,179.44,150.87,163.14,29692400,163.14
