Date,Close,Close,Close
4/21/2008,47.04,80.35,42.67
4/18/2008,46.71,79.29,43.22
4/17/2008,45.27,76.25,45.15
4/16/2008,45.37,76.09,45.03
4/15/2008,44.14,70.85,48.87
4/14/2008,44.08,70.75,48.76
4/11/2008,44.28,71.79,48.27
4/10/2008,45.54,75.86,45.65
4/9/2008,44.9,74.1,46.85
4/8/2008,45.41,75.75,45.87
4/7/2008,45.76,76.43,45.32
4/4/2008,45.86,76.86,45.19
4/3/2008,45.59,76.48,45.29
4/2/2008,45.49,76.35,45.48
4/1/2008,45.59,75.83,45.81
3/31/2008,43.72,69.95,49.7
3/28/2008,43.49,69.65,49.96
3/27/2008,43.71,70.72,49.55
3/26/2008,44.7,72.2,48.4
3/25/2008,44.83,73.65,47.58
3/24/2008,44.58,73.1,48.16
3/20/2008,43.09,67.56,52.49
3/19/2008,42.26,65.7,54
3/18/2008,43.33,69.15,51.36
3/17/2008,41.48,63.64,56.21
3/14/2008,42.25,65.32,54.65
3/13/2008,43.04,68.06,52.68
3/12/2008,42.71,66.98,53.38
3/11/2008,42.83,68.31,52.35
3/10/2008,41.26,62.63,57.63
3/7/2008,42.07,65.23,55.47
3/6/2008,42.17,65.58,55.22
3/5/2008,43.12,69.1,52.69
3/4/2008,42.91,67.8,53.25
3/3/2008,42.67,67.25,53.8
2/29/2008,42.95,68.74,52.66
2/28/2008,44.12,70.85,50.97
2/27/2008,44.29,72.41,50.23
2/26/2008,44.07,71.95,50.25
2/25/2008,43.9,71.29,50.97
2/22/2008,43.68,71,51.26
2/21/2008,43.52,70.38,51.45
2/20/2008,43.94,71.47,50.67
2/19/2008,43.74,70.82,51.48
2/15/2008,43.82,71.5,50.85
2/14/2008,43.97,71.76,50.53
2/13/2008,44.78,74.1,49
2/12/2008,43.82,71.55,50.99
2/11/2008,44.07,72.08,50.69
2/8/2008,43.6,70.5,51.78
2/7/2008,43.11,69.6,52.25
2/6/2008,42.81,68.2,53.64
2/5/2008,43.67,71.23,51.25
2/4/2008,44.95,74.79,49.09
2/1/2008,45.59,77.5,47.02
1/31/2008,45.13,75.05,48.97
1/30/2008,44.37,73.35,50.21
1/29/2008,44.41,73.44,50.09
1/28/2008,44.33,73.1,50.02
1/25/2008,43.99,72,51.12
1/24/2008,44.91,75.3,48.76
1/23/2008,44.01,73.17,50.4
1/22/2008,44.18,72.53,50.7
1/18/2008,45.35,76.7,48.12
1/17/2008,45.41,77.12,48.02
1/16/2008,46.05,79.3,46.6
1/15/2008,46.55,81.7,46.5
1/14/2008,47.87,85.61,43.39
1/11/2008,47.05,83.43,44.7
