Date,Open,High,Low,Close,Volume,Adj Close
2009-01-14,4.52,4.52,4.22,4.28,106374200,4.24
2009-01-13,4.52,4.87,4.45,4.78,96440500,4.73
2009-01-12,5.12,5.13,4.51,4.71,92163600,4.66
2009-01-09,5.58,5.61,5.13,5.19,63444800,5.14
2009-01-08,5.46,5.64,5.37,5.52,63653200,5.46
2009-01-07,5.85,5.92,5.51,5.57,79382000,5.51
2009-01-06,6.03,6.23,5.93,6.09,85999300,6.03
2009-01-05,6.05,6.14,5.81,5.86,98505700,5.80
2009-01-02,6.00,6.20,5.74,6.08,66057800,6.02
2008-12-31,5.67,6.06,5.60,6.03,60527300,5.97
2008-12-30,5.32,5.64,5.28,5.63,42086500,5.57
2008-12-29,5.43,5.44,5.11,5.25,37638500,5.20
2008-12-26,5.48,5.52,5.26,5.39,19142000,5.33
2008-12-24,5.25,5.37,5.15,5.36,25549800,5.30
2008-12-23,5.49,5.54,5.17,5.17,58430400,5.12
2008-12-22,5.77,5.85,5.24,5.42,73963100,5.34
2008-12-19,5.78,6.03,5.60,5.80,86193500,5.71
2008-12-18,6.20,6.29,5.61,5.75,122112400,5.66
2008-12-17,5.97,6.41,5.85,6.09,157422400,6.00
2008-12-16,6.15,6.17,5.27,6.15,169954800,6.06
2008-12-15,5.50,5.52,4.94,5.15,106633300,5.07
2008-12-12,4.79,5.55,4.76,5.55,167625200,5.47
2008-12-11,6.00,6.10,5.18,5.27,136406200,5.19
2008-12-10,6.35,6.43,5.87,6.21,161046700,6.12
2008-12-09,6.59,6.95,6.18,6.26,164681200,6.17
2008-12-08,6.63,6.95,6.45,6.86,199729900,6.76
2008-12-05,5.09,6.16,5.05,6.11,214216700,6.02
2008-12-04,5.20,5.90,5.08,5.30,173560100,5.22
2008-12-03,4.58,5.57,4.54,5.47,236221200,5.39
2008-12-02,4.56,5.02,4.25,4.96,172315400,4.89
2008-12-01,5.85,5.86,4.27,4.34,145260200,4.27
2008-11-28,6.03,6.35,5.94,6.30,48975500,6.21
2008-11-26,5.28,6.08,5.20,6.03,137910700,5.94
2008-11-25,5.42,5.67,5.04,5.55,252501400,5.47
2008-11-24,4.37,5.35,4.22,5.06,213540500,4.98
2008-11-21,4.04,4.10,3.22,3.98,298545700,3.92
2008-11-20,4.49,4.73,3.62,3.74,290248900,3.68
2008-11-19,5.76,5.84,4.60,4.63,198402500,4.56
2008-11-18,6.04,6.15,5.35,5.93,145109300,5.84
2008-11-17,6.52,6.66,5.97,6.05,120149400,5.96
2008-11-14,7.16,7.53,6.61,6.70,144920900,6.60
2008-11-13,6.67,7.50,5.76,7.50,169563300,7.39
2008-11-12,7.19,7.39,6.51,6.52,111950000,6.42
2008-11-11,7.58,7.86,7.11,7.38,108670400,7.27
2008-11-10,8.71,8.84,7.54,7.71,82635900,7.59
2008-11-07,8.30,8.54,7.93,8.53,97320900,8.40
2008-11-06,9.01,9.28,8.01,8.01,112490000,7.89
2008-11-05,10.73,10.84,9.13,9.37,78693000,9.23
2008-11-04,10.35,11.08,10.30,10.94,70758500,10.78
2008-11-03,9.93,10.24,9.81,10.24,50465400,10.09
2008-10-31,8.92,10.00,8.89,9.94,83978700,9.79
2008-10-30,9.36,9.48,8.75,9.13,78750700,8.99
2008-10-29,9.00,9.80,8.65,8.80,144194800,8.67
2008-10-28,8.05,9.20,7.05,8.89,125831900,8.76
2008-10-27,7.99,8.42,7.40,7.59,75408400,7.48
2008-10-24,7.19,8.50,7.00,8.25,119093400,8.13
2008-10-23,8.96,9.12,7.66,8.64,121660700,8.51
2008-10-22,9.78,9.96,8.34,8.99,105508900,8.86
2008-10-21,10.18,10.89,10.15,10.36,65821300,10.20
2008-10-20,10.49,10.69,9.75,10.54,72660000,10.38
2008-10-17,9.96,11.15,9.76,10.33,117080000,10.18
2008-10-16,10.47,10.58,8.80,10.21,183820000,10.06
2008-10-15,11.33,11.78,9.95,10.08,117489900,9.93
2008-10-14,12.43,13.00,11.51,12.06,202993000,11.88
2008-10-13,11.00,11.36,9.75,10.90,150354800,10.74
2008-10-10,7.92,9.83,7.31,9.48,337625300,9.34
2008-10-09,11.64,11.85,8.33,8.41,184516200,8.28
2008-10-08,10.74,12.34,10.60,10.75,173515700,10.59
2008-10-07,14.92,14.94,11.75,11.86,163669200,11.68
2008-10-06,14.66,15.08,13.16,14.72,131920400,14.50
2008-10-03,18.12,18.61,15.81,15.95,121316400,15.71
2008-10-02,18.54,18.77,17.00,17.25,70801900,16.99
2008-10-01,17.53,18.80,17.24,18.69,83587500,18.41
2008-09-30,16.88,17.93,15.92,17.54,79908900,17.28
2008-09-29,19.17,19.43,15.55,16.24,125736900,16.00
2008-09-26,18.42,20.55,18.12,20.26,82606800,19.96
2008-09-25,19.10,20.07,18.83,19.42,83030700,19.13
2008-09-24,19.80,19.88,18.18,18.76,59591700,18.48
2008-09-23,19.55,20.22,18.75,19.29,72679200,18.90
2008-09-22,22.44,22.45,19.53,19.83,64048300,19.43
2008-09-19,23.80,24.88,20.50,21.96,108781000,21.52
2008-09-18,17.25,19.79,14.50,18.77,266611900,18.39
2008-09-17,18.46,18.68,16.02,16.66,193486700,16.33
2008-09-16,16.31,19.66,16.17,19.62,161810000,19.23
2008-09-15,18.99,20.41,17.70,17.71,135534700,17.35
2008-09-12,20.63,21.79,20.44,21.22,85466200,20.79
2008-09-11,19.55,21.50,19.26,21.50,93686700,21.07
